title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url,description,title_clean,author_clean,reading_level_sources,has_level_data,reading_level_estimate,summary_gpt,themes,tone,age_range_llm,reading_level_llm,complexity_analysis,reading_confidence_llm,llm_skipped,skip_reason,enriched_lexile_score,enriched_lexile_source,enriched_lexile_confidence,enrichment_method,enrichment_tier,found,enrichment_date
The Girl Who Drank the Moon,Kelly Barnhill,https://www.goodreads.com/book/show/28110852-the-girl-who-drank-the-moon,The Girl Who Drank the Moon,Kelly Regan Barnhill,https://covers.openlibrary.org/b/id/7903958-L.jpg,https://openlibrary.org/works/OL17627845W,"An epic fantasy about a young girl raised by a witch, a swamp monster, and a Perfectly Tiny Dragon, who must unlock the powerful magic buried deep inside her.",The Girl Who Drank The Moon,Kelly Barnhill,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A young girl raised by a witch, a swamp monster, and a tiny dragon must discover and harness her hidden magic.","magic, friendship, identity",fantastical,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:56:03.572494
The Relatives Came,Cynthia Rylant,https://www.goodreads.com/book/show/981463.The_Relatives_Came,The Relatives Came,Cynthia Rylant,https://covers.openlibrary.org/b/id/4995900-L.jpg,https://openlibrary.org/works/OL64084W,The relatives come to visit from Virginia and everyone has a wonderful time.,The Relatives Came,Cynthia Rylant,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",A story about relatives visiting from Virginia and the joy they bring to the family.,"family, togetherness, joy, visitors",warm,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:56:04.442841
The Adventures of Danny Meadow Mouse,Thornton W. Burgess,https://www.goodreads.com/book/show/518618.The_Adventures_of_Danny_Meadow_Mouse,The adventures of Danny Meadow Mouse,Thornton W. Burgess,https://covers.openlibrary.org/b/id/311305-L.jpg,https://openlibrary.org/works/OL121229W,"Danny Meadow Mouse, a timid but quick vole, plays hide-and-seek with his foe Reddy Fox and has other adventures with the animals of the Green Meadows.",The Adventures Of Danny Meadow Mouse,Thornton W. Burgess,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A timid vole named Danny Meadow Mouse has adventures with other animals in the Green Meadows, including playing hide-and-seek with his foe Reddy Fox.","friendship, courage, nature",whimsical,6-8,Beginning Readers (6-8),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:56:05.410313
Not a Stick (Not a Box),Antoinette Portis,https://www.goodreads.com/book/show/2079076.Not_a_Stick,Not a Stick,Antoinette Portis,https://covers.openlibrary.org/b/id/2312607-L.jpg,https://openlibrary.org/works/OL277980W,An imaginative young pig shows some of the many things that a stick can be.,Not A Stick (Not A Box),Antoinette Portis,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",A young pig uses their imagination to transform a stick into various objects.,"imagination, creativity, play",playful,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:56:06.391155
The Three Robbers,Tomi Ungerer,https://www.goodreads.com/book/show/2586990-the-three-robbers,The three robbers,Tomi Ungerer,https://covers.openlibrary.org/b/id/819191-L.jpg,https://openlibrary.org/works/OL48763W,Three robbers who terrify the countryside are subdued by the charm of a little girl named Tiffany.,The Three Robbers,Tomi Ungerer,"{""llm_analysis"": {""age_range"": ""3-6"", ""reading_category"": ""Early Readers (3-6)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-6"", ""reading_category"": ""Early Readers (3-6)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",Three robbers terrorize the countryside but are transformed of a little girl named Tiffany.,"kindness, transformation, friendship",heartwarming,3-6,Early Readers (3-6),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:56:07.289166
Andrew Henry's Meadow,Doris Burn,https://www.goodreads.com/book/show/399068.Andrew_Henry_s_Meadow,Andrew Henry's meadow,Doris Burn,https://covers.openlibrary.org/b/id/735503-L.jpg,https://openlibrary.org/works/OL172029W,"To most everyone, Andrew Henry Thatcher's enthusiasm for building things was a nuisance. Even the helicopter in the kitchen and the merry-go-round hitched to the sewing machine seemed to get in the way. So, one day, Andrew Henry quietly packed and moved to a meadow. Before long Alice Burdock, who liked birds, turned up. Her father didn't care for birds. Then George Turner came along with his boats and paddle wheel. And soon, six other children, each with a special interest that nobody seemed to appreciate. How Andrew Henry aroused the whole town, and accidentally found a happy solution to his problem, is a captivating story. Almost more absorbing are the detailed drawings of his ingenious and quite buildable inventions. - First page.",Andrew Henry'S Meadow,Doris Burn,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A boy named Andrew Henry, tired of his creations being seen as a nuisance, moves to a meadow where he meets other children with unique interests. Together, they create a special place of their own.","friendship, creativity, acceptance",whimsical,6-8,Beginning Readers (6-8),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:56:08.175740
Journey to the River Sea,Eva Ibbotson,https://www.goodreads.com/book/show/294442.Journey_to_the_River_Sea,Journey to the river sea,Eva Ibbotson,https://covers.openlibrary.org/b/id/361258-L.jpg,https://openlibrary.org/works/OL104419W,"Sent with her governess to live with the dreadful Carter family in exotic Brazil in 1910, Maia endures many hardships before fulfilling her dream of exploring the Amazon River.",Journey To The River Sea,Eva Ibbotson,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",A young girl sent to live with a harsh family in Brazil in 1910 overcomes challenges to fulfill her dream of exploring the Amazon River.,"adventure, resilience, exploration, cultural differences",adventurous,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:56:09.056053
"Anatole (Anatole, #1)",Eve Titus,https://www.goodreads.com/book/show/802348.Anatole,Anatole,Eve Titus,https://covers.openlibrary.org/b/id/234287-L.jpg,https://openlibrary.org/works/OL4438139W,"Anatole is a most honorable mouse. When he realizes that humans are upset by mice sampling their leftovers, he is shocked! He must provide for his beloved family--but he is determined to find a way to earn his supper. And so he heads for the tasting room at the Duvall Cheese Factory. On each cheese, he leaves a small note--""good,"" ""not so good,"" ""needs orange peel""--and signs his name. When workers at the Duvall factory find his notes in the morning, they are perplexed--but they realize that this mysterious Anatole has an exceptional palate and take his advice. Soon Duvall is making the best cheese in all of Paris! They would like to give Anatole a reward--if only they could find him...","Anatole (Anatole, #1)",Eve Titus,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","An honorable mouse named Anatole helps improve the cheese at a factory on the cheese samples. The workers are perplexed , but soon realize his exceptional palate is making their cheese the best in Paris.","determination, family, helping others, appreciation",heartwarming,6-8,Beginning Readers (6-8),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:56:09.980294
"Ozma of Oz (Oz, #3)",L. Frank Baum,https://www.goodreads.com/book/show/60177.Ozma_of_Oz,Ozma of Oz,L. Frank Baum,https://covers.openlibrary.org/b/id/12648657-L.jpg,https://openlibrary.org/works/OL18415W,"When a storm blows Dorothy to the land of Ev where lunches grow on trees, she meets the Scarecrow, the Tin Woodman, the Cowardly Lion, and Princess Ozma, and together they set out to free the Queen of Ev and her ten children.","Ozma Of Oz (Oz, #3)",L. Frank Baum,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","After being blown to the land of Ev, Dorothy joins forces with familiar friends to help free the Queen of Ev and her children.","friendship, adventure, loyalty",whimsical,6-8,Beginning Readers (6-8),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:56:10.914591
"The Dragonet Prophecy (Wings of Fire, #1)",Tui T. Sutherland,https://www.goodreads.com/book/show/13228487-the-dragonet-prophecy,The Dragonet Prophecy,Tui T. Sutherland,https://covers.openlibrary.org/b/id/13460810-L.jpg,https://openlibrary.org/works/OL27696982W,"I would describe this book as enjoyable and fun but it can also get tense at times like when They met Queen Scarlet. I would definitely recommend people to read this book and the rest of the series. (If this isn't what you wanted, here) *Wings of Fire the Dragonet Prophecy* is about 5 dragonets bound to save the world from a war between 3 queens who Blister, Blaze, and Burn. Raised under the mountain within the Claws of the Clouds Mountains. They meet queen Scarlet And kill Dune Webs escapes while Clay, Suunny, Glory, Tsunami, Starflight, and Kestrel all get captured and go to the Sky Kingdom.","The Dragonet Prophecy (Wings Of Fire, #1)",Tui T. Sutherland,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A fantasy adventure where five dragonets destined to save the world find themselves in a dangerous mission against warring queens, including Queen Scarlet.","friendship, destiny, adventure, loyalty",adventurous,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:56:11.801619
