title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url,description,title_clean,author_clean,reading_level_sources,has_level_data,reading_level_estimate,summary_gpt,themes,tone,age_range_llm,reading_level_llm,complexity_analysis,reading_confidence_llm,llm_skipped,skip_reason,enriched_lexile_score,enriched_lexile_source,enriched_lexile_confidence,enrichment_method,enrichment_tier,found,enrichment_date
Charlotte’s Web,E.B. White,https://www.goodreads.com/book/show/24178.Charlotte_s_Web,Charlotte's Web,E. B. White,https://covers.openlibrary.org/b/id/8461797-L.jpg,https://openlibrary.org/works/OL483391W,"Charlotte's Web is a book of children's literature by American author E. B. White and illustrated by Garth Williams; it was published on October 15, 1952, by Harper & Brothers. The novel tells the story of a livestock pig named Wilbur and his friendship with a barn spider named Charlotte. When Wilbur is in danger of being slaughtered by the farmer, Charlotte writes messages praising Wilbur (such as ""Some Pig"") in her web in order to persuade the farmer to let him live.


----------
Also contained in:
[Novels](https://openlibrary.org/works/OL483326W)",Charlotte’S Web,E.B. White,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis_fix""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","""Charlotte's Web"" is a classic children's book that tells the heartwarming story of a pig named Wilbur and his friendship with a clever spider named Charlotte. The novel explores themes of friendship, loyalty, and the power of kindness. It is a beloved tale that has been enjoyed by generations of readers.","relationships, friendship, love, belonging",gentle,6-8,Beginning Readers (6-8),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.8,False,,,not_found,none,comprehensive_search,,False,2025-09-09T22:48:45.590028
If You Give a Mouse a Cookie,Laura Joffe Numeroff,https://www.goodreads.com/book/show/767680.If_You_Give_a_Mouse_a_Cookie,If You Give a Mouse a Cookie,Laura Joffe Numeroff,https://covers.openlibrary.org/b/id/50977-L.jpg,https://openlibrary.org/works/OL61432W,Relating the cycle of requests a mouse is likely to make after you give him a cookie takes the reader through a young child's day.,If You Give A Mouse A Cookie,Laura Joffe Numeroff,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 1.0, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 1.0, ""source"": ""llm_analysis""}","A story about a mouse who makes a series of requests after being given a cookie, leading to a young child's busy day.","curiosity, routine, responsibility",playful,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",1.0,,,310.0,Publisher Data,high,known_scores_database,1.0,True,2025-09-09T22:48:45.590385
Love You Forever,Robert Munsch,https://www.goodreads.com/book/show/310259.Love_You_Forever,Love You Forever,Robert N Munsch,https://covers.openlibrary.org/b/id/772161-L.jpg,https://openlibrary.org/works/OL88707W,"The story details the cycle of life by chronicling the experiences of a young son and his mother throughout the course of the boy's life, and describing the exasperating behaviour exhibited by him throughout his youth. In spite of her occasional aggravation caused by her son's behaviour, the mother nonetheless visits his bedroom nightly to cradle him in her arms, and sing a brief lullaby promising to always love him. After her son enters adulthood and leaves home, his elderly mother occasionally sneaks into his bedroom at night to croon her customary lullaby. However she gradually grows old and frail, and her grown son visits his feeble, sickly mother for the final time. When he first arrives, his mother tries to sing her lullaby to him, but she is too weak to finish. He then cradles her in his arms and sings an altered rendition of her lullaby in reciprocation of the unconditional love that she had shown him throughout his life, vowing to always love her in return. After returning home in a scene implying the death of his mother, he cradles his newborn daughter and sings his mother's signature lullaby for her, implying that the cycle will continue.",Love You Forever,Robert Munsch,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A poignant story of the unconditional love between a mother and her son, spanning from his youth to her old age, with themes of love, aging, and family bonds.","love, aging, family bonds",poignant,6-8,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:48:46.503376
Corduroy,Don Freeman,https://www.goodreads.com/book/show/231850.Corduroy,Corduroy,Don Freeman,https://covers.openlibrary.org/b/id/1333207-L.jpg,https://openlibrary.org/works/OL4114525W,"A toy bear in a department store wants a number of things, but when a little girl finally buys him he finds what he has always wanted most of all.",Corduroy,Don Freeman,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 1.0, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 1.0, ""source"": ""llm_analysis""}",A toy bear in a department store finds what he has always wanted most when a little girl buys him.,"friendship, belonging, gratitude",heartwarming,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",1.0,,,420.0,Scholastic Database,high,known_scores_database,1.0,True,2025-09-09T22:48:46.504297
Madeline,Ludwig Bemelmans,https://www.goodreads.com/book/show/475339.Madeline,Madeline's Rescue,Ludwig Bemelmans,https://covers.openlibrary.org/b/id/973931-L.jpg,https://openlibrary.org/works/OL1981005W,"A hound rescues a schoolgirl from the Seine, becomes a beloved school pet, is chased away by the trustees, and returns with a surprise.",Madeline,Ludwig Bemelmans,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A hound rescues a schoolgirl and becomes a school pet, but is chased away and returns with a surprise.","friendship, loyalty, belonging",heartwarming,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,500.0,Classic Picture Books DB,high,known_scores_database,1.0,True,2025-09-09T22:48:46.504577
The Velveteen Rabbit,Margery Williams Bianco,https://www.goodreads.com/book/show/144974.The_Velveteen_Rabbit,The Velveteen Rabbit,Margery Williams Bianco,https://covers.openlibrary.org/b/id/8783171-L.jpg,https://openlibrary.org/works/OL812053W,"The Rabbit in the stocking isn't as expensive as the other toys: he's covered in velveteen. On Christmas Day, the Boy enjoys his new toy but then quickly forgets and neglects him. Shunned and unsure, the Velveteen Rabbit questions his worth. Should he even be called a real toy? An answer comes from his friend, the Skin Horse: ""Real isn't how you are made. . . .It's a thing that happens to you. When a child loves you for a long, long time, not just to play with, but REALLY loves you, then you become Real."" The Velveteen Rabbit's journey through love and loneliness to become who he was really meant to be is a story that inspires us all on our own journey to Real.

The Velveteen Rabbit is a timeless tale of friendship, love, acceptance and honesty. When the world seems uncertain, Margery Williams's classic story reminds all of us what really matters.

The type in this edition has been reset to emphasize the poetry of the language and to bring out the depth of sentiment in the story. William Nicholson's 1922 illustrations, which have delighted generations of readers, are rendered in full-color just as they appeared in the original edition of The Velveteen Rabbit. Together words and pictures create a world so much like our own, and yet so delightfully magical.",The Velveteen Rabbit,Margery Williams Bianco,"{""llm_analysis"": {""age_range"": ""3-6"", ""reading_category"": ""Early Readers (3-6)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-6"", ""reading_category"": ""Early Readers (3-6)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A velveteen rabbit, initially neglected , learns about love and becoming 'real' through the help of a wise friend. This","friendship, love, acceptance, identity",heartwarming,3-6,Early Readers (3-6),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:48:47.572691
The Monster at the End of this Book,Jon Stone,https://www.goodreads.com/book/show/44186.The_Monster_at_the_End_of_this_Book,The Monster at the End of This Book,Jon Stone,https://covers.openlibrary.org/b/id/8580217-L.jpg,https://openlibrary.org/works/OL3009031W,"Is there a monster at the end of this book? Lovable, furry old Grover believes that there is, and he will try anything to stop you from turning the pages to find him! The Monster at the End of This Book, the bestselling Sesame Street book of all time, is an exciting and highly original tale that children will want to read again and again.",The Monster At The End Of This Book,Jon Stone,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A lovable monster named Grover tries to stop readers from turning the pages, believing there is a monster at the end of the book.","curiosity, friendship, imagination",playful,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:48:48.512527
Chicka Chicka Boom Boom,Bill Martin Jr.,https://www.goodreads.com/book/show/293595.Chicka_Chicka_Boom_Boom,Chicka chicka boom boom,Bill Martin Jr.,https://covers.openlibrary.org/b/id/1320266-L.jpg,https://openlibrary.org/works/OL59121W,An alphabet rhyme/chant that relates what happens when the whole alphabet tries to climb a coconut tree.,Chicka Chicka Boom Boom,Bill Martin Jr.,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 1.0, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 1.0, ""source"": ""llm_analysis""}",A playful rhyming story about the alphabet trying to climb a coconut tree.,"alphabet, teamwork, persistence",playful,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",1.0,,,240.0,Educational Publishers,high,known_scores_database,1.0,True,2025-09-09T22:48:48.513052
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,https://www.goodreads.com/book/show/759611.Brown_Bear_Brown_Bear_What_Do_You_See_,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,https://covers.openlibrary.org/b/id/12624136-L.jpg,https://openlibrary.org/works/OL59133W,"Children see a variety of animals, each one a different color, and a teacher looking at them.","Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 1.0, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 1.0, ""source"": ""llm_analysis""}",Children explore a colorful world of animals as a teacher observes them.,"colors, animals, observation",playful,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",1.0,,,200.0,Educational Testing,high,known_scores_database,1.0,True,2025-09-09T22:48:48.513159
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,https://www.goodreads.com/book/show/46677.Alexander_and_the_Terrible_Horrible_No_Good_Very_Bad_Day,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,https://covers.openlibrary.org/b/id/433572-L.jpg,https://openlibrary.org/works/OL1932036W,"On a day when everything goes wrong for him, Alexander is consoled by the thought that other people have bad days too.","Alexander And The Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A young boy named Alexander experiences a series of mishaps in a single day, finding comfort in the fact that bad days happen to everyone.","resilience, empathy, perspective",realistic,6-8,Beginning Readers (6-8),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,470.0,Scholastic,high,known_scores_database,1.0,True,2025-09-09T22:48:48.513237
