title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url,description,title_clean,author_clean,reading_level_sources,has_level_data,reading_level_estimate,summary_gpt,themes,tone,age_range_llm,reading_level_llm,complexity_analysis,reading_confidence_llm,llm_skipped,skip_reason,enriched_lexile_score,enriched_lexile_source,enriched_lexile_confidence,enrichment_method,enrichment_tier,found,enrichment_date
Mr. Putter & Tabby Catch the Cold,Cynthia Rylant,https://www.goodreads.com/book/show/947148.Mr_Putter_Tabby_Catch_the_Cold,Mr. Putter & Tabby catch the cold,Cynthia Rylant,https://covers.openlibrary.org/b/id/1120256-L.jpg,https://openlibrary.org/works/OL64057W,"When Mr. Putter catches a cold, his friend Mrs. Teaberry sends over some special treats to help him feel better.",Mr. Putter & Tabby Catch The Cold,Cynthia Rylant,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",Mr. Putter catches a cold and receives special treats from his friend to help him feel better.,"friendship, kindness, care",warm,6-8,Beginning Readers (6-8),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:57:35.680293
Trucks,Byron Barton,https://www.goodreads.com/book/show/964667.Trucks,Trucks,Byron Barton,https://covers.openlibrary.org/b/id/439203-L.jpg,https://openlibrary.org/works/OL2463677W,Brief text and illustrations present a variety of trucks and what they do.,Trucks,Byron Barton,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 1.0, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 1.0, ""source"": ""llm_analysis""}",A simple book showcasing different types of trucks and their functions through brief text and illustrations.,"transportation, vehicles, work",informative,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",1.0,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:57:36.549942
"The Princess in Black (The Princess in Black, #1)",Shannon Hale,https://www.goodreads.com/book/show/20708771-the-princess-in-black,The Princess in Black and the Perfect Princess Party,Shannon Hale,https://covers.openlibrary.org/b/id/7879431-L.jpg,https://openlibrary.org/works/OL17592070W,"Today is Princess Magnolia’s birthday party, and she wants everything to be perfect. But just as her guests are arriving . . . Brring! Brring! The monster alarm! Princess Magnolia runs to the broom closet, ditches her frilly clothes, and becomes the Princess in Black! She rushes to the goat pasture, defeats the monster, and returns to the castle before her guests discover her secret. But every time Princess Magnolia is about to open her presents, the monster alarm rings again. And every time she rushes back—an inside-out dress here, a missing shoe there—it gets harder to keep the other princesses from being suspicious. Don’t those monsters understand that now is not a good time for an attack?","The Princess In Black (The Princess In Black, #1)",Shannon Hale,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","Princess Magnolia must balance her birthday party with secret monster-fighting duties as the Princess in Black, all while keeping her identity hidden from her guests.","identity, heroism, secrecy",adventurous,6-8,Beginning Readers (6-8),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:57:37.477292
"Howliday Inn (Bunnicula, #2)",James    Howe,https://www.goodreads.com/book/show/443658.Howliday_Inn,Howliday Inn,James Howe,https://covers.openlibrary.org/b/id/9290895-L.jpg,https://openlibrary.org/works/OL7978720W,"Not a great place to visit, and you wouldn't want to live there 

The Monroes have gone on vacation, leaving Harold and Chester at Chateau Bow-Wow—not exactly a four-star hotel. On the animals' very first night there, the silence is pierced by a peculiar wake-up call—an unearthly howl that makes Chester observe that the place should be called Howliday Inn. 

But the mysterious cries in the night (Chester is convinced there are werewolves afoot) are just the beginning of the frightening goings-on. Soon animals start disappearing, and there are whispers of murder. Is checkout time at Chateau Bow-Wow going to come earlier than Harold and Chester anticipated?
([source][1])


  [1]: https://www.jameshowe.com/books-1/2014/5/1/howliday-inn","Howliday Inn (Bunnicula, #2)",James Howe,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","While the Monroes are on vacation, Harold and Chester stay at Chateau Bow-Wow, which turns out to be a not-so-great place with mysterious happenings. The animals must unravel the frightening events before it's too late.","mystery, friendship, adventure",mysterious,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:57:38.373673
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring,The Fellowship of the Ring,J.R.R. Tolkien,https://covers.openlibrary.org/b/id/14627060-L.jpg,https://openlibrary.org/works/OL27513W,"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.

“A unique, wholly realized other world, evoked from deep in the well of Time, massively detailed, absorbingly entertaining, profound in meaning.”—The New York Times

In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, the Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit. In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose.","The Fellowship Of The Ring (The Lord Of The Rings, #1)",J.R.R. Tolkien,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",A young hobbit named Frodo is entrusted with a powerful ring and must embark on a dangerous journey to destroy it and thwart the Dark Lord's plans.,"adventure, friendship, good vs. evil",epic,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:57:39.319752
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,https://www.goodreads.com/book/show/375802.Ender_s_Game,Ender's Game,Orson Scott Card,https://covers.openlibrary.org/b/id/12996033-L.jpg,https://openlibrary.org/works/OL49488W,"Ender's Game is a 1985 military science fiction novel by American author Orson Scott Card. Set at an unspecified date in Earth's future, the novel presents an imperiled humankind after two conflicts with the Formics, an insectoid alien species they dub the ""buggers"". In preparation for an anticipated third invasion, children, including the novel's protagonist, Andrew ""Ender"" Wiggin, are trained from a very young age by putting them through increasingly difficult games, including some in zero gravity, where Ender's tactical genius is revealed.

The book originated as a short story of the same name, published in the August 1977 issue of Analog Science Fiction and Fact. The novel was published on January 15, 1985. Later, by elaborating on characters and plotlines depicted in the novel, Card was able to write additional books in the Ender's Game series. Card also released an updated version of Ender's Game in 1991, changing some political facts to reflect the times more accurately (e.g., to include the recent collapse of the Soviet Union and the end of the Cold War). The novel has been translated into 34 languages.

Reception of the book has been mostly positive. It has become suggested reading for many military organizations, including the United States Marine Corps. Ender's Game was recognized as ""best novel"" by the 1985 Nebula Award[3] and the 1986 Hugo Award[4] in the genres of science fiction and fantasy. Its four sequels—Speaker for the Dead (1986), Xenocide (1991), Children of the Mind (1996), and Ender in Exile (2008)—follow Ender's subsequent travels to many different worlds in the galaxy. In addition, the later novella A War of Gifts (2007) and novel Ender's Shadow (1999), plus other novels in the Shadow saga, take place during the same time period as the original.


----------

Contained in:
[Ender's War](https://openlibrary.org/works/OL49619W)
See also:

 - [Ender's Game: 1/2](https://openlibrary.org/works/OL19647657W/Ender's_Game._1_2)

  [1]: http://www.hatrack.com/osc/books/endersgame/","Ender’S Game (Ender'S Saga, #1)",Orson Scott Card,"{""llm_analysis"": {""age_range"": ""13+"", ""reading_category"": ""Advanced Young Readers (13+)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""13+"", ""reading_category"": ""Advanced Young Readers (13+)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","Ender's Game is a military science fiction novel set in Earth's future, focusing on humanity's conflict with an alien species. Children are trained to battle in preparation for a potential invasion.","war, alien conflict, training, future",serious,13+,Advanced Young Readers (13+),"{""vocabulary"": ""advanced"", ""sentence_structure"": ""complex"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:57:40.217748
A Traveller in Time,Alison Uttley,https://www.goodreads.com/book/show/1422149.A_Traveller_in_Time,A Traveller in Time,Alison Uttley,https://covers.openlibrary.org/b/id/9400653-L.jpg,https://openlibrary.org/works/OL262622W,A wonderful history book about time travel between modern day England and the medieval period when a small girl finds herself privy to the goings on of the Babbington plot to rescue Mary Queen of Scots.,A Traveller In Time,Alison Uttley,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A historical novel about time travel between modern England and the medieval period, focusing on a young girl's involvement in the Babbington plot to rescue Mary Queen of Scots.","time travel, history, loyalty, adventure",intriguing,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:57:41.130333
Mr. Putter & Tabby Toot the Horn,Cynthia Rylant,https://www.goodreads.com/book/show/878245.Mr_Putter_Tabby_Toot_the_Horn,Mr. Putter & Tabby toot the horn,Cynthia Rylant,https://covers.openlibrary.org/b/id/112666-L.jpg,https://openlibrary.org/works/OL15072814W,"Mr. Putter's neighbor, Mrs. Teaberry, decides that they should join a band, but finding the right one isn't as easy as it sounds--for them or their pets.",Mr. Putter & Tabby Toot The Horn,Cynthia Rylant,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","Mr. Putter and his neighbor Mrs. Teaberry try to find the perfect band to join, along with their pets.","friendship, music, pets",whimsical,6-8,Beginning Readers (6-8),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:57:42.089578
Interrupting Chicken,David Ezra Stein,https://www.goodreads.com/book/show/8036440-interrupting-chicken,Interrupting chicken,David Ezra Stein,https://covers.openlibrary.org/b/id/6666387-L.jpg,https://openlibrary.org/works/OL5818196W,"Little Red Chicken wants Papa to read her a bedtime story, but interrupts him almost as soon as he begins each tale.",Interrupting Chicken,David Ezra Stein,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",A little chicken keeps interrupting her Papa as he tries to read her bedtime stories.,"family, bedtime, storytelling",playful,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:57:43.004750
Strawberry Girl,Lois Lenski,https://www.goodreads.com/book/show/42447.Strawberry_Girl,Strawberry Girl,Lois Lenski,https://covers.openlibrary.org/b/id/5006765-L.jpg,https://openlibrary.org/works/OL1526334W,"Set in a little-known backwoods region of Florida, Strawberry Girl is the first of the Lenski regional books and the winner of the Newbery award.",Strawberry Girl,Lois Lenski,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A story set in a rural Florida community, focusing on the challenges faced by a young girl and her family as they try to make a living through farming.","family, hardship, community",realistic,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:57:43.884908
