title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url,description,title_clean,author_clean,reading_level_sources,has_level_data,reading_level_estimate,summary_gpt,themes,tone,age_range_llm,reading_level_llm,complexity_analysis,reading_confidence_llm,llm_skipped,skip_reason,enriched_lexile_score,enriched_lexile_source,enriched_lexile_confidence,enrichment_method,enrichment_tier,found,enrichment_date
The Quiltmaker's Gift,Jeff Brumbeau,https://www.goodreads.com/book/show/56471.The_Quiltmaker_s_Gift,The quiltmaker's gift,Jeff Brumbeau,https://covers.openlibrary.org/b/id/816277-L.jpg,https://openlibrary.org/works/OL2347633W,"When a generous quiltmaker finally agrees to make a quilt for a greedy king but only under certain conditions, she causes him to undergo a change of heart.",The Quiltmaker'S Gift,Jeff Brumbeau,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",A generous quiltmaker challenges a greedy king to change his ways a quilt under specific conditions.,"generosity, greed, kindness, change",heartwarming,6-8,Beginning Readers (6-8),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:51:28.466733
The Mysteries of Harris Burdick,Chris Van Allsburg,https://www.goodreads.com/book/show/55734.The_Mysteries_of_Harris_Burdick,The Mysteries of Harris Burdick,Chris Van Allsburg,https://covers.openlibrary.org/b/id/255653-L.jpg,https://openlibrary.org/works/OL3743767W,Presents a series of loosely related drawings each accompanied by a title and a caption which the reader may use to make up his or her own story.,The Mysteries Of Harris Burdick,Chris Van Allsburg,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",A collection of mysterious drawings with titles and captions that encourage readers to create their own stories.,"imagination, creativity, mystery",mysterious,6-8,Beginning Readers (6-8),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:51:29.404888
"Mrs. Piggle-Wiggle's Magic (Mrs. Piggle Wiggle, #2)",Betty MacDonald,https://www.goodreads.com/book/show/25052.Mrs_Piggle_Wiggle_s_Magic,Mrs. Piggle-Wiggle's Magic (Mrs. Piggle-Wiggle #2),Betty MacDonald,https://covers.openlibrary.org/b/id/4617332-L.jpg,https://openlibrary.org/works/OL273760W,"Seven families are helped out by Mrs. Piggle-Wiggle's magic cures when they are faced with thought-you-saiders, tattletales, bad table manners, interrupters, heedless breakers, never-want-to-go-to-schoolers, and waddle-I-doers.","Mrs. Piggle-Wiggle'S Magic (Mrs. Piggle Wiggle, #2)",Betty Macdonald,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",Mrs. Piggle-Wiggle uses magic cures to help seven families with various behavior challenges.,"behavior, magic, family, friendship",whimsical,6-8,Beginning Readers (6-8),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:51:30.464349
"The Wolves of Willoughby Chase (The Wolves Chronicles, #1)",Joan Aiken,https://www.goodreads.com/book/show/36638.The_Wolves_of_Willoughby_Chase,The Wolves of Willoughby Chase (Wolves #1),Joan Aiken,https://covers.openlibrary.org/b/id/239726-L.jpg,https://openlibrary.org/works/OL262048W,"This novel is the first in the Wolves Chronicles (aka The Wolves of Willoughby Chase Series), a series of children's novels set during the fictional early-19th century reign of King James the third.

A large number of wolves have migrated from the bitter cold of Europe and Russia into Britain via a new ""channel tunnel"", and terrorize the inhabitants of rural areas. Read about the adventures of cousins Bonnie and Sylvia and their friend Simon the goose-boy as they thwart the evil schemes of their governess Miss Slighcarp, and their so called ""teacher"" at boarding school, Mrs. Brisket.

The story was made into a film in 1989.","The Wolves Of Willoughby Chase (The Wolves Chronicles, #1)",Joan Aiken,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","In this first book of a series set in a fictional early-19th century, cousins Bonnie and Sylvia, along with their friend Simon, face off against their wicked governess and teacher as they navigate a world plagued by wolves.","friendship, adventure, courage, resilience",adventurous,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:51:31.355639
"Giggle, Giggle, Quack",Doreen Cronin,https://www.goodreads.com/book/show/191170.Giggle_Giggle_Quack,Giggle Giggle Quack (Click Clack Moo),Doreen Cronin,https://covers.openlibrary.org/b/id/479216-L.jpg,https://openlibrary.org/works/OL5703640W,"When Farmer Brown goes on vacation, leaving  his brother Bob in charge, Duck makes trouble by changing all his instructions to notes the animals like much better.","Giggle, Giggle, Quack",Doreen Cronin,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","During Farmer Brown's vacation, Duck causes mischief to suit the animals' preferences.","mischievous, animals, humor",humorous,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:51:32.264061
The Seven Silly Eaters,Mary Ann Hoberman,https://www.goodreads.com/book/show/204910.The_Seven_Silly_Eaters,The Seven Silly Eaters,Mary Ann Hoberman,https://covers.openlibrary.org/b/id/112615-L.jpg,https://openlibrary.org/works/OL15043937W,"Peter only wants milk, Lucy insists on pink lemonade, and Jack is stuck on applesauce. Each new addition to the Peters clan brings another demand for a special dish. Mrs. Peters, loving mother that she is, does her best to fulfill each new request but the preparations get to be exhausting. It isn't until her birthday arrives that an unexpected present from her seven youngsters solves her problem and surprises them all. Marla Frazee's lively and detailed drawings of the Peters household add to the fun. -- Author's website.

Seven fussy eaters find a way to surprise their mother.",The Seven Silly Eaters,Mary Ann Hoberman,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",A mother deals with the demands of her seven picky eaters until a surprise on her birthday changes everything.,"family, love, surprise, cooperation",heartwarming,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:51:33.274943
"Over Sea, Under Stone (The Dark is Rising, #1)",Susan Cooper,https://www.goodreads.com/book/show/11312.Over_Sea_Under_Stone,"Over Sea, Under Stone (The Dark Is Rising #1)",Susan Cooper,https://covers.openlibrary.org/b/id/436197-L.jpg,https://openlibrary.org/works/OL894247W,"On holiday in Cornwall, the three Drew children discover an ancient map in the attic of the house that they are staying in. They know immediately that it is special. It is even more than that -- the key to finding a grail, a source of power to fight the forces of evil known as the Dark. And in searching for it themselves, the Drews put their very lives in peril. 
This is the first volume of Susan Cooper's brilliant and absorbing fantasy sequence known as The Dark Is Rising.","Over Sea, Under Stone (The Dark Is Rising, #1)",Susan Cooper,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","Three siblings on vacation in Cornwall find an ancient map leading to a powerful grail, placing them in danger as they face the forces of evil known as the Dark.","adventure, family, good vs. evil",adventurous,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:51:34.096221
Bears in the Night,Stan Berenstain,https://www.goodreads.com/book/show/900067.Bears_in_the_Night,Bears in the Night,Stan Berenstain,https://covers.openlibrary.org/b/id/255199-L.jpg,https://openlibrary.org/works/OL72941W,"""Seven bears sneak out of bed, through the window, and across the dark countryside to investigate the source of a noise.""",Bears In The Night,Stan Berenstain,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",A group of bears sneak out of bed at night to follow a mysterious noise across the countryside.,"curiosity, adventure, teamwork",mysterious,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:51:35.019243
"My Side of the Mountain (Mountain, #1)",Jean Craighead George,https://www.goodreads.com/book/show/41667.My_Side_of_the_Mountain,My side of the mountain,Jean Craighead George,https://covers.openlibrary.org/b/id/108669-L.jpg,https://openlibrary.org/works/OL111900W,"A young boy relates his adventures during the year he spends living alone in the Catskill Mountains, including his struggle for survival, his dependence on nature, his animal friends, and his ultimate realization that he needs human companionship.","My Side Of The Mountain (Mountain, #1)",Jean Craighead George,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",A young boy recounts his solo adventures living in the Catskill Mountains for a year.,"adventure, survival, nature",adventurous,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:51:35.943680
The Way Things Work,David Macaulay,https://www.goodreads.com/book/show/304889.The_Way_Things_Work,The Way Things Work,David Macaulay,https://covers.openlibrary.org/b/id/257822-L.jpg,https://openlibrary.org/works/OL15130328W,Text and numerous detailed illustrations introduce and explain the scientific principles and workings of hundreds of machines. Includes new material about digital technology.,The Way Things Work,David Macaulay,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A detailed exploration of the scientific principles behind various machines, with a focus on digital technology.","science, technology, machines",informative,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,comprehensive_search,,False,2025-09-09T22:51:36.944363
